id,regiao,uf_regiao,cidade,sexo,faixa_etaria,data_abertura,data_resposta,data_finalizacao,prazo_resposta,sigla,nome_fantasia,problema,local_compra,situacao,avaliacao_reclamacao,nota_consumidor
874,NE,AL,Maceió,M,entre 41 a 50 anos,2021-10-04,2021-10-13,2021-10-19,2021-10-14,TAM,Latam Airlines (Tam),Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada avaliada,Resolvida,5
875,CO,DF,Brasília,F,entre 21 a 30 anos,2021-10-04,2021-10-11,2021-10-25,2021-10-14,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Resolvida,5
876,S,RS,Porto Alegre,M,entre 31 a 40 anos,2021-12-07,2021-12-09,2021-12-30,2021-12-17,X01,Aerolíneas Argentinas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Loja física,Finalizada não avaliada,Não Avaliada,0
877,S,RS,Santa Maria,M,entre 21 a 30 anos,2021-12-07,2021-12-14,2022-01-04,2021-12-17,TAM,Latam Airlines (Tam),Dificuldade / demora para cancelar o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
878,CO,MS,Campo Grande,M,entre 41 a 50 anos,2021-12-07,2021-12-10,2021-12-31,2021-12-17,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
879,CO,MS,Campo Grande,F,entre 21 a 30 anos,2021-12-07,2021-12-17,2022-01-07,2021-12-17,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
880,S,RS,Santa Maria,F,entre 31 a 40 anos,2021-12-07,2021-12-09,2021-12-30,2021-12-17,TAM,Latam Airlines (Tam),SAC - Dificuldade para cancelar o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
881,CO,DF,Brasília,M,entre 31 a 40 anos,2021-10-04,2021-10-08,2021-10-26,2021-10-14,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
882,CO,DF,Brasília,F,entre 21 a 30 anos,2021-10-04,2021-10-08,2021-10-26,2021-10-14,TAM,Latam Airlines (Tam),Informações incompletas / inadequadas sobre o serviço,Internet,Finalizada avaliada,Resolvida,4
883,CO,MS,Campo Grande,M,entre 51 a 60 anos,2021-10-04,2021-10-06,2021-10-27,2021-10-14,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
884,NE,PI,Teresina,M,entre 21 a 30 anos,2021-12-07,2021-12-10,2021-12-28,2021-12-17,GLO,Gol Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Resolvida,5
