id,regiao,uf_regiao,cidade,sexo,faixa_etaria,data_abertura,data_resposta,data_finalizacao,prazo_resposta,sigla,nome_fantasia,problema,local_compra,situacao,avaliacao_reclamacao,nota_consumidor
7255,CO,DF,Brasília,F,entre 41 a 50 anos,2021-11-10,2021-11-12,2021-11-30,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
7256,CO,DF,Brasília,F,entre 21 a 30 anos,2021-11-10,2021-11-20,2021-12-08,2021-11-20,IPM,Itapemirim Transportes Aéreos,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
7257,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,TAM,Latam Airlines (Tam),Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
7258,CO,DF,Brasília,F,entre 41 a 50 anos,2021-11-10,2021-11-16,2021-11-16,2021-11-20,GLO,Gol Linhas Aéreas,Cancelamento indevido da passagem de volta,Internet,Finalizada avaliada,Não Resolvida,1
7259,NE,RN,Natal,M,entre 21 a 30 anos,2021-11-10,2021-11-16,2021-12-06,2021-11-20,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
7260,CO,DF,Brasília,M,entre 41 a 50 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
7261,CO,DF,Brasília,F,entre 21 a 30 anos,2021-11-10,2021-11-19,2021-12-10,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7262,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-16,2021-11-30,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Não Resolvida,1
7263,N,PA,Belém,M,entre 21 a 30 anos,2021-11-10,2021-11-19,2021-12-10,2021-11-20,X02,Aeromexico,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7264,CO,DF,Brasília,M,mais de 70 anos,2021-11-10,2021-11-12,2021-11-21,2021-11-20,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Não Resolvida,1
7265,N,PA,Santarém,F,entre 21 a 30 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,Negativa de embarque de passageiro (preterição / overbooking),Internet,Finalizada não avaliada,Não Avaliada,0
7266,N,PA,Santarém,M,entre 21 a 30 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,Negativa de embarque de passageiro (preterição / overbooking),Internet,Finalizada não avaliada,Não Avaliada,0
7267,S,RS,Nova Petrópolis,F,entre 21 a 30 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade para alterar ou cancelar o contrato /serviço,Internet,Finalizada não avaliada,Não Avaliada,0
7268,CO,DF,Brasília,F,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-11-16,2021-11-20,AZU,Azul Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,5
7269,S,RS,Guaporé,M,entre 41 a 50 anos,2021-11-10,2021-11-20,2021-12-11,2021-11-20,IPM,Itapemirim Transportes Aéreos,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
7270,N,AM,Manaus,M,entre 31 a 40 anos,2021-11-10,2021-11-11,2021-11-11,2021-11-20,TAM,Latam Airlines (Tam),Atraso de voo,Internet,Finalizada avaliada,Não Resolvida,1
7271,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7272,S,RS,Porto Alegre,M,entre 31 a 40 anos,2021-11-10,2021-11-18,2021-12-09,2021-11-20,AZU,Azul Linhas Aéreas,Atraso de voo,Internet,Finalizada não avaliada,Não Avaliada,0
7273,CO,DF,Brasília,M,entre 51 a 60 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
7274,S,RS,Santa Maria,M,entre 21 a 30 anos,2021-11-10,2021-11-18,2021-12-06,2021-11-20,IPM,Itapemirim Transportes Aéreos,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
7275,CO,DF,Brasília,M,entre 41 a 50 anos,2021-11-10,2021-11-11,2021-12-02,2021-11-20,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7276,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-15,2021-12-05,2021-11-20,TAM,Latam Airlines (Tam),Interrupção/instabilidade do fornecimento,Internet,Finalizada avaliada,Resolvida,1
7277,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-19,2021-12-10,2021-11-20,TAM,Latam Airlines (Tam),Não entrega / demora na entrega do produto,Internet,Finalizada não avaliada,Não Avaliada,0
7278,S,RS,Cachoeira do Sul,M,entre 41 a 50 anos,2021-11-10,2021-11-14,2021-12-05,2021-11-20,GLO,Gol Linhas Aéreas,"Falta de informação sobre atraso, cancelamento ou interrupção de voo",Internet,Finalizada avaliada,Resolvida,5
7279,CO,DF,Brasília,M,entre 21 a 30 anos,2021-11-10,2021-11-15,2021-12-03,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Não Resolvida,1
7280,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-19,2021-12-03,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade de contato / demora no atendimento,Internet,Finalizada avaliada,Resolvida,4
7281,NE,PI,Teresina,F,entre 41 a 50 anos,2021-11-10,2021-11-18,2021-11-18,2021-11-20,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,5
7282,S,RS,Porto Alegre,F,entre 51 a 60 anos,2021-11-10,2021-11-15,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
7283,CO,DF,Brasília,F,entre 41 a 50 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,GLO,Gol Linhas Aéreas,Informações incompletas / inadequadas sobre o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
7284,CO,DF,Brasília,M,entre 41 a 50 anos,2021-11-10,2021-11-14,2021-12-07,2021-11-20,TAM,Latam Airlines (Tam),Cancelamento indevido da passagem de volta,Telefone,Finalizada não avaliada,Não Avaliada,0
7285,N,AM,Manaus,F,entre 21 a 30 anos,2021-11-10,2021-11-18,2021-11-24,2021-11-20,AZU,Azul Linhas Aéreas,Atraso de voo,Internet,Finalizada avaliada,Resolvida,4
7286,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-19,2021-12-08,2021-11-20,TAM,Latam Airlines (Tam),Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada avaliada,Não Resolvida,1
7287,S,RS,Porto Alegre,M,entre 41 a 50 anos,2021-11-10,2021-11-15,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
7288,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-19,2021-12-10,2021-11-20,X19,TAP Air Portugal,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
7289,N,RR,Boa Vista,F,entre 31 a 40 anos,2021-11-10,2021-11-13,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
7290,NE,MA,São Luís,M,entre 41 a 50 anos,2021-11-10,2021-11-13,2021-11-13,2021-11-20,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
7291,S,RS,Bento Gonçalves,M,entre 31 a 40 anos,2021-11-10,2021-11-11,2021-11-11,2021-11-20,TAM,Latam Airlines (Tam),"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Não comprei / contratei,Finalizada avaliada,Resolvida,4
7292,S,RS,Porto Alegre,M,mais de 70 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7293,CO,DF,Brasília,F,entre 41 a 50 anos,2021-11-10,2021-11-11,2021-11-25,2021-11-20,TAM,Latam Airlines (Tam),"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,Finalizada avaliada,Resolvida,5
7294,S,RS,Carazinho,F,entre 41 a 50 anos,2021-11-10,2021-11-19,2021-11-22,2021-11-20,X19,TAP Air Portugal,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
7295,CO,DF,Brasília,M,entre 51 a 60 anos,2021-11-10,2021-11-15,2021-12-05,2021-11-20,GLO,Gol Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Não Resolvida,1
7296,NE,RN,Natal,F,entre 41 a 50 anos,2021-11-10,2021-11-13,2021-11-14,2021-11-20,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
7297,CO,DF,Brasília,F,entre 41 a 50 anos,2021-11-10,2021-11-11,2021-11-12,2021-11-20,TAM,Latam Airlines (Tam),SAC - Descortesia / despreparo / demora,Telefone,Finalizada avaliada,Não Resolvida,1
7298,S,RS,Guaíba,M,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-11-30,2021-11-20,GLO,Gol Linhas Aéreas,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Telefone,Finalizada avaliada,Não Resolvida,1
7299,CO,DF,Brasília,F,entre 51 a 60 anos,2021-11-10,2021-11-13,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada não avaliada,Não Avaliada,0
7300,N,PA,Castanhal,M,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-11-30,2021-11-20,TAM,Latam Airlines (Tam),Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
7301,S,RS,Capão da Canoa,M,entre 51 a 60 anos,2021-11-10,2021-11-12,2021-11-18,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Não Resolvida,5
7302,S,RS,Porto Alegre,F,entre 31 a 40 anos,2021-11-10,2021-11-19,2021-11-22,2021-11-20,X14,Iberia Lineas Aereas,Cancelamento de voo,Internet,Finalizada avaliada,Resolvida,4
7303,N,AM,Manaus,M,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,GLO,Gol Linhas Aéreas,Informações incompletas / inadequadas sobre o serviço,Internet,Finalizada não avaliada,Não Avaliada,0
7304,CO,MS,Campo Grande,M,entre 41 a 50 anos,2021-11-10,2021-11-17,2021-12-08,2021-11-20,AZU,Azul Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7305,N,PA,Castanhal,M,entre 31 a 40 anos,2021-11-10,2021-11-17,2021-11-30,2021-11-20,X14,Qatar Airways,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
7306,S,RS,Santa Cruz do Sul,F,entre 51 a 60 anos,2021-11-10,2021-11-19,2021-12-10,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade de contato / demora no atendimento,Internet,Finalizada não avaliada,Não Avaliada,0
7307,N,PA,Belém,F,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Descortesia / despreparo / demora,Loja física,Finalizada não avaliada,Não Avaliada,0
7308,CO,DF,Brasília,M,entre 21 a 30 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
7309,CO,DF,Brasília,F,entre 51 a 60 anos,2021-11-10,2021-11-12,2021-11-29,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,1
7310,CO,DF,Brasília,F,entre 41 a 50 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
7311,NE,MA,São Luís,F,entre 41 a 50 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Loja física,Finalizada não avaliada,Não Avaliada,0
7312,CO,DF,Brasília,F,entre 31 a 40 anos,2021-11-10,2021-11-16,2021-11-17,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Resolvida,4
7313,CO,DF,Brasília,F,entre 31 a 40 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
7314,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-16,2021-11-29,2021-11-20,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada avaliada,Não Resolvida,2
7315,CO,DF,Brasília,F,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-11-23,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,1
7316,S,RS,Novo Hamburgo,M,entre 41 a 50 anos,2021-11-10,2021-11-19,2021-12-10,2021-11-20,X19,TAP Air Portugal,"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada não avaliada,Não Avaliada,0
7317,NE,MA,São Luís,M,entre 31 a 40 anos,2021-11-10,2021-11-19,2021-12-07,2021-11-20,X06,Alitalia,Cancelamento de voo,Telefone,Finalizada avaliada,Não Resolvida,1
7318,NE,MA,São Luís,F,entre 41 a 50 anos,2021-11-10,2021-11-11,2021-12-02,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
7319,CO,DF,Brasília,F,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-11-16,2021-11-20,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
7320,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-19,2021-11-24,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade para contratar / recusa injustificada,Internet,Finalizada avaliada,Resolvida,5
7321,CO,DF,Brasília,F,entre 31 a 40 anos,2021-11-10,2021-11-17,2021-12-08,2021-11-20,AZU,Azul Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7322,NE,MA,São Luís,M,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-11-14,2021-11-20,GLO,Gol Linhas Aéreas,Cancelamento de voo,Internet,Finalizada avaliada,Não Resolvida,1
7323,NE,AL,Maceió,M,entre 31 a 40 anos,2021-11-10,2021-11-19,2021-12-10,2021-11-20,X04,Air Europa,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada não avaliada,Não Avaliada,0
7324,N,RR,Boa Vista,M,entre 51 a 60 anos,2021-11-10,2021-11-19,2021-11-19,2021-11-20,TAM,Latam Airlines (Tam),SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Resolvida,5
7325,CO,DF,Brasília,F,entre 41 a 50 anos,2021-11-10,2021-11-16,2021-11-20,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada avaliada,Não Resolvida,1
7326,NE,RN,Natal,F,entre 21 a 30 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
7327,NE,MA,São Luís,M,entre 31 a 40 anos,2021-11-10,2021-11-18,2021-11-18,2021-11-20,AZU,Azul Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,4
7328,NE,MA,Imperatriz,M,entre 21 a 30 anos,2021-11-10,2021-11-12,2021-11-30,2021-11-20,TAM,Latam Airlines (Tam),Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada avaliada,Resolvida,5
7329,S,RS,Lajeado,F,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-11-16,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Resolvida,5
7330,S,RS,Farroupilha,M,entre 21 a 30 anos,2021-11-10,2021-11-12,2021-11-12,2021-11-20,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Resolvida,3
7331,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-11,2021-11-11,2021-11-20,X19,TAP Air Portugal,Dificuldade / demora para cancelar o serviço,Internet,Finalizada avaliada,Não Resolvida,1
7332,S,RS,Bento Gonçalves,M,entre 31 a 40 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7333,S,RS,Canoas,M,entre 61 a 70 anos,2021-11-10,2021-11-11,2021-11-17,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,2
7334,N,AM,Carauari,M,entre 31 a 40 anos,2021-11-10,2021-11-15,2021-11-15,2021-11-20,AZU,Azul Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada avaliada,Resolvida,5
7335,CO,DF,Brasília,F,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-11-29,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Não Resolvida,1
7336,S,RS,Porto Alegre,F,entre 31 a 40 anos,2021-11-10,2021-11-18,2021-12-09,2021-11-20,X10,Copa Airlines,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada não avaliada,Não Avaliada,0
7337,CO,DF,Brasília,F,entre 41 a 50 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7338,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-12-02,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Não Resolvida,2
7339,NE,RN,Natal,M,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
7340,NE,RN,Natal,F,entre 31 a 40 anos,2021-11-10,2021-11-12,2021-12-03,2021-11-20,GLO,Gol Linhas Aéreas,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Internet,Finalizada não avaliada,Não Avaliada,0
7341,NE,MA,São José de Ribamar,M,entre 21 a 30 anos,2021-11-10,2021-11-11,2021-11-16,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade / demora para alterar o contrato de serviço (alteração de voo),Internet,Finalizada avaliada,Resolvida,5
7342,S,RS,Porto Alegre,M,entre 31 a 40 anos,2021-11-10,2021-11-11,2021-11-18,2021-11-20,GLO,Gol Linhas Aéreas,Cancelamento indevido da passagem de volta,Internet,Finalizada avaliada,Resolvida,5
7343,CO,MS,Três Lagoas,F,entre 31 a 40 anos,2021-11-10,2021-11-13,2021-11-13,2021-11-20,AZU,Azul Linhas Aéreas,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,5
7344,NE,AL,Arapiraca,F,entre 31 a 40 anos,2021-11-10,2021-11-11,2021-12-02,2021-11-20,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
7345,N,PA,Belém,F,entre 61 a 70 anos,2021-11-10,2021-11-16,2021-12-07,2021-11-20,TAM,Latam Airlines (Tam),"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,Finalizada não avaliada,Não Avaliada,0
7346,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-11,2021-11-16,2021-12-07,2021-11-21,TAM,Latam Airlines (Tam),Cobrança indevida / abusiva para alterar ou cancelar o contrato,Internet,Finalizada não avaliada,Não Avaliada,0
7347,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-11,2021-11-11,2021-12-02,2021-11-21,TAM,Latam Airlines (Tam),Interrupção/instabilidade do fornecimento,Internet,Finalizada não avaliada,Não Avaliada,0
7348,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-11,2021-11-12,2021-11-27,2021-11-21,TAM,Latam Airlines (Tam),Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,5
7349,CO,DF,Brasília,F,entre 51 a 60 anos,2021-11-11,2021-11-11,2021-11-15,2021-11-21,TAM,Latam Airlines (Tam),Dificuldade de acesso a dados pessoais ou financeiros,Não comprei / contratei,Finalizada avaliada,Não Resolvida,5
7350,NE,PI,Teresina,M,entre 31 a 40 anos,2021-11-11,2021-11-19,2021-12-07,2021-11-21,TAM,Latam Airlines (Tam),"Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)",Internet,Finalizada avaliada,Resolvida,4
7351,CO,MS,Ribas do Rio Pardo,M,entre 31 a 40 anos,2021-11-11,2021-11-16,2021-11-23,2021-11-21,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Ganhei de presente,Finalizada avaliada,Não Resolvida,1
7352,CO,MS,Três Lagoas,F,mais de 70 anos,2021-11-11,2021-11-16,2021-12-07,2021-11-21,GLO,Gol Linhas Aéreas,SAC - Descortesia / despreparo / demora,Loja física,Finalizada não avaliada,Não Avaliada,0
7353,CO,DF,Brasília,F,entre 31 a 40 anos,2021-11-11,2021-11-17,2021-12-07,2021-11-21,GLO,Gol Linhas Aéreas,SAC - Descortesia / despreparo / demora,Internet,Finalizada avaliada,Resolvida,2
7354,NE,AL,Maceió,M,entre 41 a 50 anos,2021-11-11,2021-11-21,2021-11-23,2021-11-21,IPM,Itapemirim Transportes Aéreos,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada avaliada,Resolvida,4
7355,CO,DF,Brasília,M,entre 61 a 70 anos,2021-11-11,2021-11-16,2021-12-07,2021-11-21,GLO,Gol Linhas Aéreas,SAC - Dificuldadede de contato / acesso,Internet,Finalizada não avaliada,Não Avaliada,0
7356,CO,MS,Dourados,F,entre 21 a 30 anos,2021-11-11,2021-11-18,2021-11-19,2021-11-21,AZU,Azul Linhas Aéreas,"Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações)",Internet,Finalizada avaliada,Resolvida,1
7357,CO,DF,Brasília,F,entre 51 a 60 anos,2021-11-11,2021-11-16,2021-11-19,2021-11-21,GLO,Gol Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada avaliada,Resolvida,3
7358,CO,MS,Campo Grande,M,entre 31 a 40 anos,2021-11-11,2021-11-12,2021-11-18,2021-11-21,TAM,Latam Airlines (Tam),Dados pessoais ou financeiros incorretos / desatualizados ? dificuldade de retificação,Internet,Finalizada avaliada,Resolvida,4
7359,NE,RN,Natal,M,entre 31 a 40 anos,2021-11-11,2021-11-17,2021-11-21,2021-11-21,X01,Aerolíneas Argentinas,"Dificuldade para contratar o serviço (problema operacionais, acesso aos canais de venda etc)",Internet,Finalizada avaliada,Resolvida,5
7360,CO,MS,Dourados,M,entre 51 a 60 anos,2021-11-11,2021-11-16,2021-11-16,2021-11-21,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Telefone,Finalizada avaliada,Resolvida,3
7361,CO,DF,Brasília,M,entre 31 a 40 anos,2021-11-11,2021-11-21,2021-11-30,2021-11-21,IPM,Itapemirim Transportes Aéreos,Cancelamento indevido da passagem de volta,Internet,Finalizada avaliada,Resolvida,5
7362,CO,MS,Campo Grande,M,entre 31 a 40 anos,2021-11-11,2021-11-12,2021-11-19,2021-11-21,GLO,Gol Linhas Aéreas,Dificuldade / demora para cancelar o serviço,Ganhei de presente,Finalizada avaliada,Resolvida,1
7363,CO,DF,Brasília,F,entre 61 a 70 anos,2021-11-11,2021-11-12,2021-12-03,2021-11-21,X19,TAP Air Portugal,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Internet,Finalizada não avaliada,Não Avaliada,0
7364,NE,AL,Maceió,F,entre 31 a 40 anos,2021-11-11,2021-11-19,2021-11-30,2021-11-21,AZU,Azul Linhas Aéreas,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Telefone,Finalizada avaliada,Resolvida,5
7365,NE,RN,Pau dos Ferros,M,entre 31 a 40 anos,2021-11-11,2021-11-19,2021-11-20,2021-11-21,TAM,Latam Airlines (Tam),Não entrega / demora na entrega do produto,Internet,Finalizada avaliada,Resolvida,5
7366,N,PA,Ulianópolis,M,entre 41 a 50 anos,2021-11-11,2021-11-19,2021-12-10,2021-11-21,TAM,Latam Airlines (Tam),SAC - Demanda não resolvida / não respondida / respondida após o prazo,Internet,Finalizada não avaliada,Não Avaliada,0
7367,CO,DF,Brasília,F,entre 41 a 50 anos,2021-11-11,2021-11-16,2021-12-07,2021-11-21,GLO,Gol Linhas Aéreas,Dificuldade de contato / acesso a outros canais (exceto SAC),Internet,Finalizada não avaliada,Não Avaliada,0
7368,N,PA,Ananindeua,F,entre 21 a 30 anos,2021-11-11,2021-11-16,2021-12-07,2021-11-21,AZU,Azul Linhas Aéreas,Falta de atendimento prioritário,Loja física,Finalizada não avaliada,Não Avaliada,0
