id,empresa_sigla,empresa_nome,ano,mes,sigla_aeroporto_origem,nome_aeroporto_origem,uf_aeroporto_origem,regiao_aeroporto_origem,sigla_aeroporto_destino,nome_aeroporto_destino,uf_aeroporto_destino,regiao_aeroporto_destino,natureza,grupo_voo,passageiros_pagos,distancia_km,assentos_total
55,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBBE,BELÉM,PA,NORTE,SBSN,SANTARÉM,PA,NORTE,DOMÉSTICA,REGULAR,8,4970,63
56,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBBE,BELÉM,PA,NORTE,SBTU,TUCURUÍ,PA,NORTE,DOMÉSTICA,REGULAR,36,1500,45
57,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBBE,BELÉM,PA,NORTE,SNEB,PARAGOMINAS,PA,NORTE,DOMÉSTICA,REGULAR,21,892,36
58,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBBE,BELÉM,PA,NORTE,SNVS,BREVES,PA,NORTE,DOMÉSTICA,REGULAR,164,6160,252
59,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBBG,BAGÉ,RS,SUL,SBPA,PORTO ALEGRE,RS,SUL,DOMÉSTICA,REGULAR,115,6099,171
60,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBBW,BARRA DO GARÇAS,MT,CENTRO-OESTE,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,117,8000,180
61,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBBW,BARRA DO GARÇAS,MT,CENTRO-OESTE,SBGO,GOIÂNIA,GO,CENTRO-OESTE,DOMÉSTICA,REGULAR,23,1047,27
62,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SBAT,ALTA FLORESTA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,7,643,9
63,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SBBW,BARRA DO GARÇAS,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,148,8400,189
64,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SSOU,ARIPUANÃ,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,32,3535,45
65,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SWHP,ÁGUA BOA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,53,4167,81
66,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBCY,VÁRZEA GRANDE,MT,CENTRO-OESTE,SWJN,JUÍNA,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,66,4932,81
67,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBEG,MANAUS,AM,NORTE,SWKO,COARI,AM,NORTE,DOMÉSTICA,REGULAR,171,9075,225
68,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBEG,MANAUS,AM,NORTE,SWLB,LÁBREA,AM,NORTE,DOMÉSTICA,REGULAR,63,9152,117
69,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBEG,MANAUS,AM,NORTE,SWMW,MAUÉS,AM,NORTE,DOMÉSTICA,REGULAR,130,7074,243
70,ACN,AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA),2021,11,SBGO,GOIÂNIA,GO,CENTRO-OESTE,SBBW,BARRA DO GARÇAS,MT,CENTRO-OESTE,DOMÉSTICA,REGULAR,18,1047,27
