EMPRESA_SIGLA;EMPRESA_NOME;ANO;MES;AEROPORTO_DE_ORIGEM_SIGLA;AEROPORTO_DE_ORIGEM_NOME;AEROPORTO_DE_ORIGEM_UF;AEROPORTO_DE_ORIGEM_REGIAO;AEROPORTO_DE_DESTINO_SIGLA;AEROPORTO_DE_DESTINO_NOME;AEROPORTO_DE_DESTINO_UF;AEROPORTO_DE_DESTINO_REGIAO;NATUREZA;GRUPO_DE_VOO;PASSAGEIROS_PAGOS;DISTANCIA_VOADA_KM;ASSENTOS
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBGO;GOIÂNIA;GO;CENTRO-OESTE;SBBW;BARRA DO GARÇAS;MT;CENTRO-OESTE;DOMÉSTICA;REGULAR;18;1047;27
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBIH;ITAITUBA;PA;NORTE;SBSN;SANTARÉM;PA;NORTE;DOMÉSTICA;REGULAR;37;1458;54
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBMD;ALMEIRIM;PA;NORTE;SBBE;BELÉM;PA;NORTE;DOMÉSTICA;REGULAR;56;4158;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBMD;ALMEIRIM;PA;NORTE;SBMQ;MACAPÁ;AP;NORTE;DOMÉSTICA;REGULAR;44;2000;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBMD;ALMEIRIM;PA;NORTE;SNYA;ALMEIRIM;PA;NORTE;DOMÉSTICA;REGULAR;47;726;99
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBMQ;MACAPÁ;AP;NORTE;SBMD;ALMEIRIM;PA;NORTE;DOMÉSTICA;REGULAR;30;2000;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SBBG;BAGÉ;RS;SUL;DOMÉSTICA;REGULAR;128;6741;189
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SBJD;JUNDIAÍ;SP;SUDESTE;DOMÉSTICA;REGULAR;3;866;9
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SBUG;URUGUAIANA;RS;SUL;DOMÉSTICA;REGULAR;7;1132;18
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SNEE;VACARIA;RS;SUL;DOMÉSTICA;REGULAR;50;1914;99
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SSCN;CANELA;RS;SUL;DOMÉSTICA;REGULAR;78;1386;162
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SSER;ERECHIM;RS;SUL;DOMÉSTICA;REGULAR;43;2529;81
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SSLT;ALEGRETE;RS;SUL;DOMÉSTICA;REGULAR;53;5472;108
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SSSB;SÃO BORJA;RS;SUL;DOMÉSTICA;REGULAR;24;3952;72
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SSSC;SANTA CRUZ DO SUL;RS;SUL;DOMÉSTICA;REGULAR;32;1000;72
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBPA;PORTO ALEGRE;RS;SUL;SSZR;SANTA ROSA;RS;SUL;DOMÉSTICA;REGULAR;52;4000;90
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBRF;RECIFE;PE;NORDESTE;SNHS;SERRA TALHADA;PE;NORDESTE;DOMÉSTICA;REGULAR;155;12000;288
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBRF;RECIFE;PE;NORDESTE;SNRU;CARUARU;PE;NORDESTE;DOMÉSTICA;REGULAR;125;3630;270
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBRF;RECIFE;PE;NORDESTE;SNTS;PATOS;PB;NORDESTE;DOMÉSTICA;REGULAR;128;5396;171
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBSN;SANTARÉM;PA;NORTE;SBBE;BELÉM;PA;NORTE;DOMÉSTICA;REGULAR;23;4970;63
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBSN;SANTARÉM;PA;NORTE;SNMA;MONTE ALEGRE;PA;NORTE;DOMÉSTICA;REGULAR;23;651;63
ACN;AZUL CONECTA LTDA. (EX TWO TAXI AEREO LTDA);2021;11;SBTB;ORIXIMINÁ;PA;NORTE;SNRJ;BREJO;PA;NORTE;DOMÉSTICA;REGULAR;18;510;54
